iter	Passed	Remaining
199	272	1088
200	272	1084
201	273	1079
202	273	1075
203	274	1071
204	275	1066
205	275	1062
206	276	1058
207	276	1054
208	277	1050
209	278	1045
210	278	1042
211	279	1038
212	279	1034
213	280	1030
214	281	1026
215	281	1023
216	282	1019
217	283	1015
218	283	1011
219	284	1008
220	285	1005
221	286	1003
222	286	999
223	287	996
224	288	992
225	288	989
226	289	985
227	290	982
228	290	979
229	291	975
230	292	972
231	292	969
232	293	966
233	294	963
234	294	960
235	295	956
236	296	953
237	296	950
238	297	946
239	298	943
240	298	940
241	299	937
242	299	934
243	300	931
244	301	929
245	302	926
246	302	923
247	303	920
248	304	918
249	305	915
250	305	912
251	306	909
252	307	907
253	308	904
254	308	901
255	309	898
256	309	896
257	310	893
258	311	890
259	311	887
260	312	885
261	313	882
262	313	879
263	314	876
264	315	873
265	315	871
266	316	868
267	317	866
268	317	863
269	318	860
270	319	858
271	319	855
272	320	853
273	321	851
274	321	848
275	322	845
276	323	843
277	323	840
278	324	838
279	324	835
280	325	833
281	326	830
282	326	828
283	327	825
284	328	823
285	328	820
286	329	818
287	329	815
288	330	813
289	331	811
290	332	808
291	332	806
292	333	804
293	333	801
294	334	799
295	335	796
296	335	794
297	336	792
298	336	790
299	337	787
300	338	785
301	338	782
302	339	780
303	339	778
304	340	775
305	340	773
306	341	770
307	342	768
308	342	766
309	343	763
310	343	761
311	344	759
312	344	756
313	345	754
314	346	752
315	346	750
316	347	748
317	348	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	724
328	354	722
329	354	720
330	355	718
331	355	716
332	356	714
333	357	712
334	357	709
335	358	707
336	358	705
337	359	703
338	359	701
339	360	699
340	361	698
341	361	696
342	362	694
343	362	692
344	363	690
345	364	688
346	364	686
347	365	684
348	365	682
349	366	680
350	366	678
351	367	676
352	368	674
353	368	672
354	369	670
355	369	668
356	370	666
357	370	664
358	371	663
359	371	661
360	372	659
361	373	657
362	373	655
363	374	653
364	374	651
365	375	650
366	376	648
367	376	647
368	377	645
369	378	643
370	378	642
371	379	640
372	379	638
373	380	636
374	380	634
375	381	633
376	382	631
377	382	629
378	383	627
379	383	626
380	384	624
381	384	622
382	385	620
383	385	619
384	386	617
385	387	615
386	387	613
387	388	612
388	388	610
389	389	608
390	389	607
391	390	606
392	391	605
393	392	603
394	393	602
395	393	600
396	394	599
397	395	597
398	395	596
399	396	594
400	396	592
401	397	591
402	398	589
403	398	587
404	399	586
405	399	584
406	400	583
407	400	581
408	401	579
409	401	578
410	402	576
411	402	575
412	403	573
413	403	571
414	404	570
415	405	569
416	406	567
417	406	566
418	407	565
419	408	563
420	408	561
421	409	560
422	409	558
423	410	557
424	410	555
425	411	554
426	411	552
427	412	551
428	412	549
429	413	548
430	414	546
431	414	545
432	415	543
433	415	542
434	416	540
435	416	539
436	417	537
437	417	536
438	418	534
439	419	533
440	419	531
441	420	530
442	420	529
443	421	527
444	422	526
445	422	525
446	423	523
447	423	522
448	424	521
449	425	519
450	425	518
451	426	516
452	426	515
453	427	514
454	427	512
455	428	511
456	429	509
457	429	508
458	430	506
459	430	505
460	431	504
461	431	502
462	432	501
463	432	499
464	433	498
465	433	497
466	434	495
467	435	494
468	435	493
469	436	492
470	437	490
471	437	489
472	438	488
473	439	487
474	439	486
475	440	484
476	440	483
477	441	482
478	442	480
479	442	479
480	443	478
481	443	476
482	444	475
483	444	474
484	445	473
485	445	471
486	446	470
487	447	469
488	447	467
489	448	466
490	448	465
491	449	464
492	450	463
493	450	461
